"Código","Inst_Previa","Escala_Cog.","Escala_Mot.","Escala_Soc","Escala_Dis."
1319,"NS/NR",64,20,55,24
2598,"No",76,29,72,28
2803,"No",131,32,73,30
2610,"No",52,29,47,14
1118,"Sí",48,17,41,16
998,"No",75,20,52,21
2807,"No",101,31,61,24
301,"No",65,21,51,27
1087,"No",131,36,74,28
1358,"NS/NR",74,19,50,21
726,"NS/NR",114,32,65,27
80,"No",76,22,50,18
699,"No",93,30,65,24
561,"Sí",90,25,62,22
31,"No",105,27,58,27
392,"Sí",96,27,59,23
25,"No",110,28,60,27
1442,"No",61,18,52,21
1369,"No",102,33,68,28
703,"No",142,34,76,36
3229,"No",63,13,46,19
3417,"NS/NR",107,28,52,27
1791,"No",137,36,71,29
568,"Sí",85,25,45,21
903,"No",108,26,59,23
1370,"No",109,32,69,30
3223,"NS/NR",108,30,61,23
610,"No",77,27,56,22
1884,"NS/NR",119,34,73,28
833,"No",55,23,35,18
639,"NS/NR",73,20,57,21
3012,"NS/NR",120,33,64,28
2260,"No",113,29,57,28
917,"No",76,22,69,23
386,"NS/NR",73,22,58,26
3147,"NS/NR",102,34,64,30
3148,"NS/NR",102,34,64,30
3351,"NS/NR",99,24,56,18
293,"No",72,24,55,27
1020,"NS/NR",77,24,60,23
1515,"No",83,31,63,23
377,"No",145,26,78,34
2357,"No",68,27,69,21
3453,"NS/NR",90,27,63,18
220,"No",73,24,30,15
3182,"NS/NR",85,30,57,27
925,"No",107,27,70,29
952,"No",97,29,50,32
562,"Sí",62,25,46,19
1236,"No",45,18,45,15
1227,"Sí",73,27,51,19
1525,"No",126,34,73,29
2593,"Sí",57,27,42,16
3303,"NS/NR",99,29,58,23
712,"No",135,33,68,32
3176,"No",114,35,63,33
823,"No",65,29,60,20
3194,"No",85,26,57,25
2408,"No",112,29,65,31
1316,"No",101,29,62,28
841,"No",97,26,56,24
1315,"Sí",101,27,63,31
1449,"No",61,23,45,18
2349,"No",101,35,76,31
3414,"NS/NR",95,28,56,29
933,"No",85,23,59,24
3105,"NS/NR",94,26,55,21
371,"No",156,26,72,31
401,"Sí",57,24,53,19
722,"NS/NR",129,35,66,29
1178,"Sí",84,26,46,19
1301,"No",63,19,59,24
2574,"No",117,29,65,25
918,"No",65,13,46,16
920,"No",66,18,56,23
2800,"No",126,32,65,30
2517,"No",104,32,68,23
3152,"NS/NR",88,35,65,31
3282,"No",71,16,52,30
1089,"No",114,36,74,26
2380,"No",123,32,76,34
381,"No",154,26,76,28
384,"Sí",153,20,68,30
1352,"NS/NR",100,28,57,25
1807,"No",44,15,43,24
2407,"No",98,29,62,30
1518,"No",36,20,53,18
1298,"Sí",70,24,61,29
3245,"No",109,29,60,30
530,"No",101,25,56,24
232,"No",85,26,52,28
2346,"No",113,36,75,30
818,"No",73,29,69,20
3199,"No",105,30,53,26
3227,"No",109,26,61,24
87,"No",60,17,46,17
2611,"No",43,24,43,16
1880,"NS/NR",101,34,76,28
360,"Sí",77,18,46,19
1181,"No",76,25,47,20
8,"Sí",104,25,54,27
1318,"No",67,22,58,28
2273,"No",80,24,53,18
3297,"NS/NR",81,21,59,22
822,"No",116,32,74,26
1861,"Sí",113,28,62,30
1512,"No",64,29,59,19
90,"No",144,36,52,32
1860,"Sí",104,29,56,25
1312,"No",87,25,63,32
2561,"No",95,27,54,25
1792,"No",63,22,68,20
